,q1,q2
0,Öğrenimim süresince hangi burslardan yararlanabilirim?,Öğrenimim boyunca ne gibi burslardan yararlanabilirim
1,Öğrenimim süresince hangi burslardan yararlanabilirim?,Hangi burslardan öğrenim süresince faydalanabilirim ?
2,Öğrenimim boyunca ne gibi burslardan yararlanabilirim,Hangi burslardan öğrenim süresince faydalanabilirim ?
3,Burs almak için nereye ve ne zaman başvurmam gerekli?,Burs için nereye başvurmalıyım
4,Burs almak için nereye ve ne zaman başvurmam gerekli?,Burs almak için ne zaman başvurmam gerekiyor ve hangi departmana başvurmam gerekiyor?
5,Burs için nereye başvurmalıyım,Burs almak için ne zaman başvurmam gerekiyor ve hangi departmana başvurmam gerekiyor?
6,Aldığım burs kaç yıl için geçerli?,Burslar kaç yıla kadar geçerli
7,Aldığım burs kaç yıl için geçerli?,Okulun verdiği burslar kaç yıl geçerli?
8,Burslar kaç yıla kadar geçerli,Okulun verdiği burslar kaç yıl geçerli?
9,Hangi durumlarda bursum kesilir?,Bursum kesilir mi 
10,Hangi durumlarda bursum kesilir?,Bursumun kesilmesi için hangi durumlarda olmam gerekiyor?
11,Bursum kesilir mi ,Bursumun kesilmesi için hangi durumlarda olmam gerekiyor?
12,Üniversite içinde yatay geçiş yaparsam bursum kesilir mi?,Yatay geçişte bursum kesilir mi
13,Üniversite içinde yatay geçiş yaparsam bursum kesilir mi?,Yatay geçişlerde burs kesilir mi?
14,Yatay geçişte bursum kesilir mi,Yatay geçişlerde burs kesilir mi?
15,Engelli Öğrenci Birimi hangi konularda destek sağlamaktadır?,Engelli öğrenciler için nasıl bir destek var
16,Engelli Öğrenci Birimi hangi konularda destek sağlamaktadır?,Engelli Öğrenci Birimi hangi konularda yardımcı olmakta?
17,Engelli öğrenciler için nasıl bir destek var,Engelli Öğrenci Birimi hangi konularda yardımcı olmakta?
18,Ben engelli bir öğrenciyim. Sınavlar ve derslerde nasıl bir destek alabilirim?,Engelli bir öğrenci olarak nasıl bir destek veriyorsunuz
19,Ben engelli bir öğrenciyim. Sınavlar ve derslerde nasıl bir destek alabilirim?,Engelli öğrencilere sınavlar ve derslerde ne gibi imkanlar sağlıyorsunuz?
20,Engelli bir öğrenci olarak nasıl bir destek veriyorsunuz,Engelli öğrencilere sınavlar ve derslerde ne gibi imkanlar sağlıyorsunuz?
21,Ben engelli bir öğrenciyim. Kampüse ulaşımım için Üniversite’den destek alabilir miyim?,Engelli öğrencilerin kampüse ulaşımında nasıl bir destek var
22,Ben engelli bir öğrenciyim. Kampüse ulaşımım için Üniversite’den destek alabilir miyim?,Engelli öğrencilere üniversite ulaşım hizmeti sağlıyor mu?
23,Engelli öğrencilerin kampüse ulaşımında nasıl bir destek var,Engelli öğrencilere üniversite ulaşım hizmeti sağlıyor mu?
24,Üniversitenin engelliler için ÖSYM bursu dışında özel burs imkânı var mı?,Engelli bir öğrenci için ek bir burs desteği var mı
25,Üniversitenin engelliler için ÖSYM bursu dışında özel burs imkânı var mı?,Engelli öğrenciler için ekstra burs imkanı sağlanıyor mu?
26,Engelli bir öğrenci için ek bir burs desteği var mı,Engelli öğrenciler için ekstra burs imkanı sağlanıyor mu?
27,Görevli Öğrenci Programı’na ne zaman başvurabilirim?,Görevli çalışan öğrenci için ne zaman başvurmalıyım
28,Görevli Öğrenci Programı’na ne zaman başvurabilirim?,Görevli Öğrenci Programı alımı ne zaman yapılmakta?
29,Görevli çalışan öğrenci için ne zaman başvurmalıyım,Görevli Öğrenci Programı alımı ne zaman yapılmakta?
30,Görevli Öğrenci Programı’nın başvuru şartları nelerdir?,Görevli öğrenciler için herhangi bir şart var mı 
31,Görevli Öğrenci Programı’nın başvuru şartları nelerdir?,Görevli Öğrenci Programına alım için gerekli şartlar nelerdir?
